2020-07-31 16:27:20 status half-installed procps:amd64 2:3.3.16-1ubuntu2
2020-07-31 16:27:20 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2020-07-31 16:27:20 install sed:amd64 <none> 4.7-1
2020-07-31 16:27:20 status half-installed sed:amd64 4.7-1
2020-07-31 16:27:20 status unpacked sed:amd64 4.7-1
2020-07-31 16:27:20 install sensible-utils:all <none> 0.0.12+nmu1
2020-07-31 16:27:20 status half-installed sensible-utils:all 0.0.12+nmu1
2020-07-31 16:27:20 status unpacked sensible-utils:all 0.0.12+nmu1
2020-07-31 16:27:20 install sysvinit-utils:amd64 <none> 2.96-2.1ubuntu1
2020-07-31 16:27:20 status half-installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2020-07-31 16:27:20 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2020-07-31 16:27:20 install tar:amd64 <none> 1.30+dfsg-7
2020-07-31 16:27:20 status half-installed tar:amd64 1.30+dfsg-7
2020-07-31 16:27:20 status unpacked tar:amd64 1.30+dfsg-7
2020-07-31 16:27:20 install util-linux:amd64 <none> 2.34-0.1ubuntu9
2020-07-31 16:27:20 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2020-07-31 16:27:20 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2020-07-31 16:27:20 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu1
2020-07-31 16:27:20 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2020-07-31 16:27:20 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2020-07-31 16:27:20 startup packages configure
2020-07-31 16:27:20 configure lsb-base:all 11.1.0ubuntu2 <none>
2020-07-31 16:27:20 status unpacked lsb-base:all 11.1.0ubuntu2
2020-07-31 16:27:20 status half-configured lsb-base:all 11.1.0ubuntu2
2020-07-31 16:27:20 status installed lsb-base:all 11.1.0ubuntu2
2020-07-31 16:27:20 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2020-07-31 16:27:20 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:27:20 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:27:20 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:27:20 configure libsemanage-common:all 3.0-1build2 <none>
2020-07-31 16:27:20 status unpacked libsemanage-common:all 3.0-1build2
2020-07-31 16:27:20 status half-configured libsemanage-common:all 3.0-1build2
2020-07-31 16:27:20 status installed libsemanage-common:all 3.0-1build2
2020-07-31 16:27:20 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2020-07-31 16:27:20 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2020-07-31 16:27:20 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2020-07-31 16:27:20 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
2020-07-31 16:27:20 configure ncurses-base:all 6.2-0ubuntu2 <none>
2020-07-31 16:27:20 status unpacked ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:27:20 status half-configured ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:27:20 status installed ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:27:20 configure sensible-utils:all 0.0.12+nmu1 <none>
2020-07-31 16:27:20 status unpacked sensible-utils:all 0.0.12+nmu1
2020-07-31 16:27:20 status half-configured sensible-utils:all 0.0.12+nmu1
2020-07-31 16:27:20 status installed sensible-utils:all 0.0.12+nmu1
2020-07-31 16:27:20 configure libcrypt1:amd64 1:4.4.10-10ubuntu4 <none>
2020-07-31 16:27:20 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-07-31 16:27:20 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-07-31 16:27:20 status installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-07-31 16:27:20 configure libgcc-s1:amd64 10-20200411-0ubuntu1 <none>
2020-07-31 16:27:20 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
